Date,Open,High,Low,Close,Adj Close,Volume
2001-01-22,109.5,109.9375,108.1875,108.5625,69.45110321044922,9618500
2001-01-23,109.5625,109.9375,107.625,109.0625,69.77098846435547,9826900
2001-01-24,109.0625,111.4375,108.9375,110.4375,70.6506118774414,6760900
2001-01-25,110.125,111.125,109.4375,110.75,70.85054779052734,4982100
2001-01-26,109.625,115.25,109.1875,114.1875,73.04962921142578,9095200
2001-01-29,112.5,115.5,112.47000122070312,114.9800033569336,73.55663299560547,5125000
2001-01-30,115.0,116.75,113.4000015258789,116.61000061035156,74.599365234375,8242000
2001-01-31,115.75,116.75,112.0,112.0,71.65019989013672,8314200
2001-02-01,112.4000015258789,114.33999633789062,111.19999694824219,114.05000305175781,72.96166229248047,5580800
2001-02-02,112.75,113.98999786376953,109.5999984741211,110.2699966430664,70.54344940185547,5428400
2001-02-05,109.4000015258789,112.5999984741211,109.30000305175781,112.22000122070312,71.79093170166016,5113700
2001-02-06,112.2300033569336,115.69000244140625,111.19999694824219,114.19000244140625,73.05120086669922,7526400
2001-02-07,113.4000015258789,117.5999984741211,112.66999816894531,116.91000366210938,74.87651824951172,9006900
2001-02-08,116.91000366210938,118.19999694824219,114.02999877929688,114.0999984741211,73.07684326171875,8380800
2001-02-09,114.02999877929688,114.98999786376953,111.0,112.0,71.73189544677734,6318800
2001-02-12,110.55000305175781,115.72000122070312,110.30000305175781,114.9000015258789,73.58919525146484,6729300
2001-02-13,114.1500015258789,117.37999725341797,113.06999969482422,113.75,72.8526382446289,7193200
2001-02-14,113.75,116.16999816894531,112.5,115.0999984741211,73.71729278564453,7032900
2001-02-15,116.80000305175781,118.63999938964844,116.37999725341797,116.77999877929688,74.79328155517578,8098700
2001-02-16,114.55000305175781,115.75,113.94000244140625,115.0,73.6532211303711,7073000
2001-02-20,114.55000305175781,115.5999984741211,110.77999877929688,111.5,71.41163635253906,6748300
2001-02-21,109.55000305175781,111.5,107.29000091552734,107.51000213623047,68.85617065429688,9156900
2001-02-22,106.5,110.9000015258789,103.37999725341797,108.9000015258789,69.74642181396484,11709000
2001-02-23,107.5,107.5,100.25,104.0,66.60816955566406,15276600
2001-02-26,105.80000305175781,105.80000305175781,101.83000183105469,105.30000305175781,67.4407730102539,8344100
2001-02-27,104.9000015258789,106.87000274658203,102.55999755859375,102.58999633789062,65.705078125,9787900
2001-02-28,102.94999694824219,103.54000091552734,99.0999984741211,99.9000015258789,63.98225402832031,11933200
2001-03-01,99.30000305175781,106.4000015258789,97.5,106.05000305175781,67.92109680175781,15102000
2001-03-02,104.0,107.6500015258789,100.94000244140625,102.30000305175781,65.51937103271484,14745500
2001-03-05,102.80999755859375,105.5999984741211,102.63999938964844,104.91000366210938,67.19096374511719,6743900
2001-03-06,106.25,108.4000015258789,105.25,106.0,67.88906860351562,8120000
2001-03-07,107.44999694824219,108.25,105.66000366210938,107.55000305175781,68.88182067871094,7788900
2001-03-08,107.16999816894531,107.33999633789062,105.37000274658203,106.47000122070312,68.19010925292969,6793600
2001-03-09,105.0,105.01000213623047,97.9000015258789,99.29000091552734,63.59160614013672,16688100
2001-03-12,97.9000015258789,98.4000015258789,95.0199966430664,95.48999786376953,61.15784454345703,14494800
2001-03-13,95.0999984741211,98.44000244140625,94.19999694824219,98.38999938964844,63.015167236328125,12127900
2001-03-14,95.4000015258789,98.9000015258789,93.33999633789062,94.95999908447266,60.81837844848633,14246600
2001-03-15,96.0,97.87000274658203,95.16999816894531,95.55999755859375,61.20267105102539,8420000
2001-03-16,93.9000015258789,93.9000015258789,88.19999694824219,90.0999984741211,57.70572280883789,20029400
2001-03-19,91.0,92.80000305175781,89.19999694824219,92.5999984741211,59.3068733215332,10235500
2001-03-20,91.5999984741211,92.02999877929688,88.0999984741211,88.30000305175781,56.55290603637695,10101100
2001-03-21,88.44999694824219,91.5999984741211,87.75,89.08000183105469,57.05244445800781,11013000
